Date,link,title,Gender-Loose,Gender-Tight,description
11/26/08,http://www.missedinhistory.com/podcasts/how-easter-island-works/,How Easter Island Works,M,N,"Home to hundreds of mysterious, gigantic stone statues, Easter Island is an isolated, tiny island in the Pacific. Check out this podcast to learn more about the astonishing history of Easter Island."
12/1/08,http://www.missedinhistory.com/podcasts/how-the-rosetta-stone-works/,How the Rosetta Stone Works,M,N,"Prior to the modern discovery of the Rosetta stone, Ancient Egypt was an enigma. Even many pre-Napoleonic Egyptians had no concept of their forbearers' culture. Check out this HowStuffWorks podcast to learn more about the Rosetta Stone."
12/3/08,http://www.missedinhistory.com/podcasts/who-was-rosie-the-riveter/,Who was Rosie the Riveter?,F,F,"With much of America's workforce fighting in World War II, women broke past traditional gender stereotypes and gained employment in industries formally restricted to men. Check out this HowStuffWorks podcast to learn more about Rosie the Riveter."
12/8/08,http://www.missedinhistory.com/podcasts/how-the-boston-tea-party-worked/,How the Boston Tea Party Worked,M,N,"During the Colonial period in North America, Britain taxed colonists without allowing the colonies to have governmental representation. Learn how the Boston Tea Party came about as a result of British colonial policies in this HowStuffWorks podcast."
12/10/08,http://www.missedinhistory.com/podcasts/how-henry-viii-worked/,How Henry VIII Worked,M,M,"From 1509 to 1547, thousands of people were beheaded under the bloody, violent reign of Henry VIII. Check out this HowStuffWorks podcast to learn more about Henry VIII and his effect on history."
12/15/08,http://www.missedinhistory.com/podcasts/how-prohibition-works/,How Prohibition Works,B,N,The alcohol prohibition of the 1920s was known at the time as 'the noble experiment.' Check out this podcast from HowStuffWorks to learn more about this constitutional amendment banning the sale and production of alcoholic products.
12/17/08,http://www.missedinhistory.com/podcasts/how-the-african-diamond-trade-works/,How the African Diamond Trade Works,M,N,"Diamond were first found in Africa sometime in the 1860s, and have troubled the continent ever since. Check out this podcast from HowStuffWorks to learn more about the De Beers monopoly, blood diamonds and the African conflicts resulting from these gems."
12/22/08,http://www.missedinhistory.com/podcasts/who-was-marco-polo/,Who was Marco Polo?,M,M,"Marco Polo was an 11th-century Italian explorer famous for his extensive travels through China along the Silk Road, but it can be difficult to separate the truth from the fiction in his stories. Check out this HowStuffWorks podcast to learn more."
12/24/08,http://www.missedinhistory.com/podcasts/how-agent-orange-worked/,How Agent Orange Worked,M,N,Agent Orange was a potent herbicide and defoliant used across Vietnam during the Vietnam War. Listen to this podcast from HowStuffWorks to learn about Agent Orange and its atrocious legacy.
12/29/08,http://www.missedinhistory.com/podcasts/how-the-great-wall-of-china-works/,How the Great Wall of China Works,M,M,"The Great Wall of China is incredibly long, and was originally built for military purposes. Check out this HowStuffWorks podcast to learn more about the Great Wall."
12/31/08,http://www.missedinhistory.com/podcasts/could-treasure-hunters-have-discovered-nazi-gold/,Could treasure hunters have discovered Nazi Gold?,M,M,"Several treasure hunters think they might have found Nazi gold. Learn about the history of Nazi gold, the role of Swiss banks and much more in this podcast from HowStuffWorks."
1/5/09,http://www.missedinhistory.com/podcasts/how-the-emancipation-proclamation-worked/,How the Emancipation Proclamation Worked,M,N,"When Lincoln delivered the Emancipation Proclamation, he hoped to demoralize the South. Learn the details behind President Lincoln's Emancipation Proclamation in this podcast from HowStuffWorks."
1/7/09,http://www.missedinhistory.com/podcasts/did-the-chinese-reach-america-before-columbus/,Did the Chinese reach America before Columbus?,M,N,"Author Gavin Menzies believes a fleet of Chinese explorers reached the Americas before Christopher Columbus, but he's been repeatedly challenged to defend this claim. Check out this podcast from HowStuffWorks to learn more about revisionist history."
1/12/09,http://www.missedinhistory.com/podcasts/why-were-some-japanese-soldiers-still-fighting-decades-after-world-war-ii/,Why were some Japanese soldiers still fighting decades after World War II?,M,M,"During World War II, the bravery of Kamikaze pilots was legendary. When the war concluded, several Japanese soldiers remained in hiding on islands across the Pacific. Learn more about Japanese holdouts and the Bushido code in this HowStuffWorks podcast."
1/14/09,http://www.missedinhistory.com/podcasts/how-the-spanish-inquisition-worked/,How the Spanish Inquisition Worked,M,N,"Nowadays, the Spanish Inquisition is best known as a symbol of religious intolerance and extreme cruelty. Tune in to this HowStuffWorks podcast to learn more about the people and politics behind the Spanish Inquisition."
1/19/09,http://www.missedinhistory.com/podcasts/how-the-civil-rights-movement-worked/,How the Civil Rights Movement Worked,M,N,Explore the complicated history of the civil rights movement in this HowStuffWorks podcast.
1/21/09,http://www.missedinhistory.com/podcasts/how-medieval-torture-devices-worked/,How Medieval Torture Devices Worked,M,M,"Building on an earlier examination of the Spanish Inquisition, HowStuffWorks' history experts take a look at the disturbing world of medieval torture devices. Check out this podcast to learn more about torture and more Stuff You Missed in History Class."
1/26/09,http://www.missedinhistory.com/podcasts/how-the-vikings-worked/,How the Vikings Worked,M,N,"In most films Vikings are depicted as bloodthirsty, relatively ignorant berserkers who did little more than plunder and pillage their way across Europe. However, the story doesn't end there -- tune in to this HowStuffWorks podcast to learn more."
1/28/09,http://www.missedinhistory.com/podcasts/how-revisionist-history-works/,How Revisionist History Works,M,N,"Like any other discipline, history often becomes a matter of interpretation. Check in with HowStuffWorks' resident history experts as they explore the phenomenon of revisionist history in this podcast."
2/2/09,http://www.missedinhistory.com/podcasts/how-the-underground-railroad-worked/,How the Underground Railroad Worked,F,N,"The Underground Railroad may have saved as much as 100,000 slaves. Tune into to this HowStuffWorks podcast to learn how the passage of the Fugitive Slave Act and a secret network of abolitionists led to the creation of the Underground Railroad."
2/4/09,http://www.missedinhistory.com/podcasts/how-navajo-code-talkers-work/,How Navajo Code Talkers Work,M,M,"During World War II, Axis and Allied powers struggled to discover the enemies' information while hiding their own. Tune in to this HowStuffWorks podcast to learn how the Navajo code talkers turned the tide of World War II."
2/9/09,http://www.missedinhistory.com/podcasts/will-the-world-really-end-in-2012/,Will the world really end in 2012?,N,N,"The Mayan empire produced a unique calendar that's still followed in parts of the world today. Curiously, this calendar predicts a monumental, world-wide change on December 21st, 2012. Learn more about 2012 in this podcast from HowStuffWorks."
2/11/09,http://www.missedinhistory.com/podcasts/why-did-it-take-more-than-20-years-to-bury-eva-peron/,Why did it take more than 20 years to bury Eva Peron?,F,F,"Eva Peron died on July 26, 1952. After a 13-day wake, Dr. Pedro Ara mummified the body -- but it would take more than twenty years to bury the corpse. Learn more about Eva Peron's decades-long travel to the grave in this podcast from HowStuffWorks."
2/16/09,http://www.missedinhistory.com/podcasts/how-thomas-jeffersons-bible-worked/,How Thomas Jeffersonâ€™s Bible Worked,M,M,"Thomas Jefferson, one of America's founding fathers, was a very unorthodox thinker. His revision of the Bible was one of his most controversial projects -- tune into this HowStuffWorks podcast to learn why."
2/18/09,http://www.missedinhistory.com/podcasts/how-the-black-death-worked/,How the Black Death Worked,M,N,"When the Black Death swept across Europe, it killed an estimated 25 million people -- one third of Europe's total population. Tune in and learn more about the lasting effects of the Black Death in this HowStuffWorks podcast."
2/23/09,http://www.missedinhistory.com/podcasts/how-the-spanish-american-war-worked/,How the Spanish-American War Worked,M,M,"Although the Spanish-American War was a short conflict, many historians believe this conflict marked the United States' emergence as a major world power. Tune in and learn more about the Spanish-American War in this podcast from HowStuffWorks.com."
2/25/09,http://www.missedinhistory.com/podcasts/how-knights-work/,How Knights Work,M,M,The knights of medieval Europe are often associated with a code of behavior known as chivalry -- but what were these knights actually like? Learn more about the reality behind the popular image of knights in this podcast from HowStuffWorks.com.
3/2/09,http://www.missedinhistory.com/podcasts/how-the-alamo-worked/,How the Alamo Worked,M,M,"Legends and lore surround the story of the Alamo. As a result, it can be difficult to separate the fact from fiction. Listen in as our resident historians take a look at the true story of the Alamo in this podcast from HowStuffWorks.com."
3/4/09,http://www.missedinhistory.com/podcasts/how-hitlers-propaganda-machine-worked/,How Hitlerâ€™s Propaganda Machine Worked,M,M,Adolph Hitler's legendary propaganda programs steered public opinion with unprecedented precision. Learn how this massive campaign influenced the average war-time German in this podcast from HowStuffWorks.com.
3/9/09,http://www.missedinhistory.com/podcasts/was-there-really-a-pied-piper-of-hamelin/,Was there really a Pied Piper of Hamelin?,M,M,Everyone knows the story of the Pied Piper -- but how much of this legend is factual? Learn more about the fact and fiction behind the story of the Pied Piper in this podcast from HowStuffWorks.com.
3/11/09,http://www.missedinhistory.com/podcasts/how-typhoid-mary-worked/,How Typhoid Mary Worked,F,F,"Historians agree that Typhoid Mary really existed -- but who was she, and how did she come to infect so many people? Tune in and learn more about Typhoid Mary in this podcast from HowStuffWorks.com."
3/16/09,http://www.missedinhistory.com/podcasts/the-bloodiest-battles-of-world-war-ii/,The Bloodiest Battles of World War II,M,M,"50 million people died over the course of World War II, and historians often cite it as the bloodiest war in human history. Tune in to learn more about World War II in this podcast from HowStuffWorks.com."
3/18/09,http://www.missedinhistory.com/podcasts/how-the-code-of-hammurabi-worked/,How the Code of Hammurabi Worked,M,M,"The Code of Hammurabi is one of humanity's earliest, most intact code of laws. Historians continue to discuss the effects and importance of this code today. Listen in and learn more about the Code of Hammurabi in this podcast from HowStuffWorks.com."
3/23/09,http://www.missedinhistory.com/podcasts/historically-inaccurate-movies/,Historically Inaccurate Movies,M,M,"Although moviegoers love period pieces, filmmakers are notorious for getting the details wrong. Tune in as our resident history buffs take a look at historically inaccurate movies -- from Pocahontas to The Bridge on the River Kwai -- in this podcast from"
3/30/09,http://www.missedinhistory.com/podcasts/how-did-the-east-india-company-change-the-world/,How did the East India Company change the world?,M,M,"From the Opium Wars to the Boston Tea Party, the British East India Company had a profound effect on the course of history. Tune in and learn more about the influence of the British East India Company in this podcast from HowStuffWorks.com."
4/1/09,http://www.missedinhistory.com/podcasts/how-the-terracotta-army-works/,How the Terracotta Army Works,M,N,"Approximately 7,000 clay soldiers guard the burial site of Qin Shi Huangdi, China's first emperor. Learn more about the emperor's mysterious army in this podcast from HowStuffWorks.com."
4/8/09,http://www.missedinhistory.com/podcasts/how-did-a-shipwreck-double-the-size-of-the-us/,How did a shipwreck double the size of the US?,M,N,"Originally, Spanish silver was meant to stabilize the Louisiana territory -- but the ship carrying the necessary funds sank in the Gulf of Mexico. Find out more about the El Cazador shipwreck in this podcast from HowStuffWorks.com."
